Name,Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Jayson Tatum,19,19,2018-11-23,20-265,BOS,@,ATL,W (+18),1,22:56,.636,.636,5.0,5.1,5.0,14.2,2.0,4.6,0.0,19.8,128,91,12.4
Jayson Tatum,20,20,2018-11-24,20-266,BOS,@,DAL,L (-9),1,36:24,.750,.750,0.0,11.5,6.2,13.6,2.7,2.9,12.5,19.4,133,113,17.6
Jayson Tatum,21,21,2018-11-26,20-268,BOS,@,NOP,W (+17),1,34:51,.635,.571,6.1,18.6,11.8,3.6,4.2,3.1,6.0,20.2,134,104,18.1
James Harden,16,13,2018-11-21,29-087,HOU,,DET,W (+2),1,36:22,.758,.600,4.9,17.2,12.7,44.3,5.4,0.0,17.5,44.1,141,118,38.6
James Harden,17,14,2018-11-23,29-089,HOU,@,DET,L (-5),1,40:53,.498,.389,2.5,3.2,2.8,35.4,0.0,2.1,17.4,42.9,100,123,15.2
James Harden,18,15,2018-11-24,29-090,HOU,@,CLE,L (-9),1,43:38,.567,.550,3.0,7.7,5.5,66.2,1.2,0.0,20.3,47.6,109,129,24.1
James Harden,19,16,2018-11-26,29-092,HOU,@,WAS,L (-4),1,47:21,.699,.641,2.4,20.1,10.4,54.0,3.2,0.0,22.2,43.4,127,125,39.9
James Harden,20,17,2018-11-28,29-094,HOU,,DAL,L (-20),1,37:21,.659,.600,3.1,38.9,18.8,70.5,8.1,0.0,29.7,30.6,119,117,28.5
Josh Jackson,17,17,2018-11-21,21-284,PHO,@,CHI,L (-8),0,13:18,.286,.286,17.6,31.8,24.1,8.8,3.4,0.0,0.0,21.9,82,115,3.9
Josh Jackson,18,18,2018-11-23,21-286,PHO,@,MIL,W (+2),0,15:50,.777,.625,0.0,14.8,7.3,7.8,0.0,7.1,12.4,22.1,143,110,8.4
Josh Jackson,19,19,2018-11-25,21-288,PHO,@,DET,L (-11),0,23:58,.563,.563,5.3,13.4,9.7,5.9,2.0,0.0,18.4,20.1,99,120,5.7
Josh Jackson,20,20,2018-11-27,21-290,PHO,,IND,L (-5),0,22:20,.444,.444,0.0,21.5,10.7,26.5,2.3,0.0,10.0,19.9,98,111,6.8
Josh Jackson,21,21,2018-11-28,21-291,PHO,@,LAC,L (-16),0,19:56,.663,.600,10.7,26.8,18.7,9.8,4.7,0.0,8.1,26.3,127,104,13.0
